FECHA,CO,NO2,NOX,O3,PM10,SO2
01/01/2000,-99,-99,-99,-99,-99,-99
01/01/2000,-99,-99,-99,-99,-99,-99
01/01/2000,-99,-99,-99,-99,-99,-99
01/01/2000,-99,-99,-99,-99,-99,-99
01/01/2000,-99,-99,-99,-99,-99,-99
01/01/2000,-99,-99,-99,-99,-99,-99
01/01/2000,-99,-99,-99,-99,-99,-99
01/01/2000,-99,-99,-99,-99,-99,-99
01/01/2000,-99,-99,-99,-99,-99,-99
01/01/2000,-99,-99,-99,-99,-99,-99
01/01/2000,-99,-99,-99,-99,-99,-99
01/01/2000,-99,-99,-99,-99,-99,-99
01/01/2000,-99,-99,-99,-99,-99,-99
01/01/2000,-99,-99,-99,-99,-99,-99
01/01/2000,-99,-99,-99,-99,-99,-99
01/01/2000,-99,-99,-99,-99,-99,-99
01/01/2000,-99,-99,-99,-99,-99,-99
01/01/2000,-99,-99,-99,-99,-99,-99
01/01/2000,-99,-99,-99,-99,-99,-99
01/01/2000,-99,-99,-99,-99,-99,-99
01/01/2000,-99,-99,-99,-99,-99,-99
01/01/2000,-99,-99,-99,-99,-99,-99
01/01/2000,-99,-99,-99,-99,-99,-99
01/01/2000,-99,-99,-99,-99,-99,-99
02/01/2000,-99,-99,-99,-99,-99,-99
02/01/2000,-99,-99,-99,-99,-99,-99
02/01/2000,-99,-99,-99,-99,-99,-99
02/01/2000,-99,-99,-99,-99,-99,-99
02/01/2000,-99,-99,-99,-99,-99,-99
02/01/2000,-99,-99,-99,-99,-99,-99
02/01/2000,-99,-99,-99,-99,-99,-99
02/01/2000,-99,-99,-99,-99,-99,-99
02/01/2000,-99,-99,-99,-99,-99,-99
02/01/2000,-99,-99,-99,-99,-99,-99
02/01/2000,-99,-99,-99,-99,-99,-99
02/01/2000,-99,-99,-99,-99,-99,-99
02/01/2000,-99,-99,-99,-99,-99,-99
02/01/2000,-99,-99,-99,-99,-99,-99
02/01/2000,-99,-99,-99,-99,-99,-99
02/01/2000,-99,-99,-99,-99,-99,-99
02/01/2000,-99,-99,-99,-99,-99,-99
02/01/2000,-99,-99,-99,-99,-99,-99
