FECHA,CO,NO,NO2,NOX,O3,SO2,PM10
01/01/2010,1.8,21,44,66,5,8,81
01/01/2010,1.4,6,39,45,9,7,87
01/01/2010,1.2,4,32,35,17,7,72
01/01/2010,0.8,0,22,20,25,10,67
01/01/2010,0.6,0,19,17,24,20,37
01/01/2010,0.7,0,17,15,22,12,63
01/01/2010,0.5,0,10,8,25,3,29
01/01/2010,0.5,0,11,10,23,2,16
01/01/2010,0.6,3,16,19,20,3,22
01/01/2010,0.4,0,7,6,34,3,-99
01/01/2010,0.4,2,7,9,40,2,14
01/01/2010,0.5,1,9,11,44,2,20
01/01/2010,0.5,0,10,10,49,2,16
01/01/2010,0.5,2,12,14,56,2,18
01/01/2010,0.6,2,14,17,65,2,22
01/01/2010,0.7,1,15,17,75,3,23
01/01/2010,0.7,1,17,18,79,2,28
01/01/2010,0.8,2,23,24,51,3,55
01/01/2010,0.7,2,24,25,27,19,46
01/01/2010,0.6,0,26,25,22,34,43
01/01/2010,0.6,0,23,23,20,30,32
01/01/2010,0.8,7,24,30,13,10,27
01/01/2010,1.1,20,30,50,4,7,33
01/01/2010,0.7,4,22,26,12,6,23
02/01/2010,0.8,11,23,35,8,4,20
02/01/2010,0.9,10,28,37,2,4,22
02/01/2010,0.8,2,25,27,3,5,20
02/01/2010,0.8,5,27,31,1,5,23
02/01/2010,0.8,5,27,32,1,6,30
02/01/2010,1.0,11,25,36,1,5,29
02/01/2010,1.4,30,25,55,1,4,34
02/01/2010,2.3,97,27,123,1,8,46
02/01/2010,2.1,94,33,128,2,18,51
02/01/2010,1.7,57,44,101,6,23,54
02/01/2010,2.0,58,60,118,10,20,59
02/01/2010,2.1,40,78,118,20,17,70
02/01/2010,1.8,32,60,92,32,13,54
02/01/2010,1.0,10,33,42,54,6,15
02/01/2010,0.9,5,26,32,59,4,19
02/01/2010,1.1,5,36,41,60,4,26
02/01/2010,1.1,7,37,44,50,4,27
02/01/2010,1.4,16,47,62,35,4,42
02/01/2010,0.7,2,22,23,30,3,56
02/01/2010,0.9,3,26,29,23,4,59
02/01/2010,0.8,3,23,26,18,3,4
02/01/2010,0.6,0,14,13,31,2,16
02/01/2010,0.6,0,13,13,30,2,10
