FECHA,CO,NO,NO2,NOX,O3,PM10,SO2
01/01/2022,0.89,11,39,50,4,97,1
01/01/2022,0.89,11,38,48,5,107,1
01/01/2022,0.89,15,37,52,4,127,1
01/01/2022,1.1,31,39,70,2,120,1
01/01/2022,0.76,9,34,43,4,89,0
01/01/2022,0.64,5,29,34,7,77,0
01/01/2022,0.61,7,27,35,5,62,0
01/01/2022,0.66,13,29,42,4,75,0
01/01/2022,0.77,19,29,48,9,59,3
01/01/2022,0.47,14,32,45,21,72,2
01/01/2022,0.39,13,36,49,31,89,5
01/01/2022,0.37,5,29,34,62,76,4
01/01/2022,0.5,3,30,32,90,84,4
01/01/2022,0.34,2,23,25,91,49,4
01/01/2022,0.09,2,13,15,76,23,2
01/01/2022,0.02,1,11,12,64,20,1
01/01/2022,0.03,2,13,15,55,43,2
01/01/2022,0.14,6,23,29,38,29,2
01/01/2022,0.38,13,38,51,11,34,1
01/01/2022,0.53,13,37,49,9,66,1
01/01/2022,0.27,7,25,32,12,36,1
01/01/2022,0.49,21,29,50,6,42,1
01/01/2022,0.55,30,28,58,4,38,1
01/01/2022,0.63,25,28,53,1,38,1
02/01/2022,0.33,8,23,32,4,12,0
02/01/2022,0.13,2,14,17,10,10,0
02/01/2022,0.11,2,14,16,10,9,0
02/01/2022,0.09,1,13,14,10,14,0
02/01/2022,0.09,2,13,14,9,13,0
02/01/2022,0.13,5,16,21,6,11,0
02/01/2022,0.24,13,17,30,4,20,0
02/01/2022,0.41,33,21,54,2,26,1
02/01/2022,0.51,33,19,53,6,29,1
02/01/2022,0.67,50,33,82,7,39,3
02/01/2022,0.38,26,31,57,16,45,3
02/01/2022,0.25,16,26,42,24,32,3
02/01/2022,0.11,5,12,17,36,23,2
02/01/2022,0.06,5,11,16,43,22,5
02/01/2022,0.05,2,9,11,49,45,5
02/01/2022,0.06,3,9,13,44,73,1
02/01/2022,0.1,3,10,13,39,44,1
02/01/2022,-99,-99,-99,-99,-99,-99,-99
02/01/2022,-99,-99,-99,-99,-99,-99,-99
02/01/2022,-99,-99,-99,-99,-99,74,-99
02/01/2022,-99,-99,-99,-99,-99,30,-99
02/01/2022,-99,-99,-99,-99,-99,24,-99
02/01/2022,-99,-99,-99,-99,-99,39,-99
02/01/2022,-99,-99,-99,-99,-99,28,-99
03/01/2022,-99,-99,-99,-99,-99,20,-99
03/01/2022,-99,-99,-99,-99,-99,28,-99
03/01/2022,-99,-99,-99,-99,-99,17,-99
03/01/2022,0.06,1,7,9,24,22,7
03/01/2022,0.03,1,7,8,23,27,5
03/01/2022,0.08,2,10,12,19,34,5
03/01/2022,0.24,16,25,41,6,44,6
03/01/2022,0.49,30,28,58,3,52,6
03/01/2022,0.55,36,30,66,3,64,7
03/01/2022,0.69,44,31,76,3,74,6
03/01/2022,0.71,38,36,74,8,78,5
03/01/2022,0.72,30,41,71,18,84,3
03/01/2022,0.76,20,48,68,31,91,3
03/01/2022,0.69,14,50,64,43,96,3
03/01/2022,0.38,8,31,39,50,83,3
03/01/2022,0.36,5,24,28,57,69,3
03/01/2022,0.33,4,28,32,59,75,3
03/01/2022,0.37,3,30,33,56,66,3
03/01/2022,0.56,5,41,46,33,91,5
03/01/2022,0.33,1,32,33,33,92,37
03/01/2022,0.2,1,23,24,36,80,47
03/01/2022,0.32,10,39,48,19,75,94
03/01/2022,0.5,15,45,60,9,69,67
03/01/2022,0.62,16,41,57,8,63,25
04/01/2022,0.33,3,24,27,20,50,13
04/01/2022,0.31,3,22,25,18,46,6
04/01/2022,0.18,3,17,19,18,32,4
04/01/2022,0.15,2,18,20,16,34,2
04/01/2022,0.12,2,15,18,17,33,2
04/01/2022,0.19,6,23,29,10,33,1
04/01/2022,0.47,25,35,60,3,37,1
04/01/2022,1.28,115,35,150,2,97,2
04/01/2022,1.5,108,41,149,2,87,8
04/01/2022,1.58,92,67,160,7,89,11
04/01/2022,1.2,30,90,119,31,94,10
04/01/2022,0.57,14,40,54,39,-99,4
04/01/2022,0.28,9,28,37,44,14,2
04/01/2022,0.34,9,30,39,47,22,3
04/01/2022,0.28,8,30,38,51,21,3
04/01/2022,0.27,6,29,35,56,18,4
04/01/2022,0.3,6,30,35,53,23,4
04/01/2022,0.8,29,58,87,22,51,5
04/01/2022,1.23,71,66,137,12,71,4
04/01/2022,1.49,70,70,140,7,96,3
04/01/2022,1.51,67,71,138,4,93,4
04/01/2022,1.11,26,60,86,9,79,5
04/01/2022,0.69,16,44,61,17,55,10
04/01/2022,0.53,6,42,48,15,49,12
05/01/2022,0.34,4,30,34,21,50,11
05/01/2022,0.23,2,25,27,25,42,11
05/01/2022,0.21,2,21,23,25,40,9
05/01/2022,0.1,1,17,18,25,34,5
05/01/2022,0.24,4,22,26,20,39,4
05/01/2022,0.37,11,33,45,9,43,3
05/01/2022,0.7,45,41,86,3,51,3
05/01/2022,1.86,147,45,192,1,89,5
05/01/2022,2.37,171,51,222,2,114,11
05/01/2022,2.14,131,86,217,4,124,8
05/01/2022,1.34,56,83,139,16,108,9
05/01/2022,0.86,23,63,86,36,61,7
05/01/2022,0.42,8,33,41,54,17,4
05/01/2022,0.3,5,21,27,57,3,2
05/01/2022,0.31,6,27,33,62,32,3
05/01/2022,0.34,4,26,30,73,38,2
05/01/2022,0.49,5,31,36,68,44,2
05/01/2022,0.74,14,51,65,52,64,3
05/01/2022,1.55,52,86,138,12,119,4
05/01/2022,1.16,36,62,98,18,114,4
05/01/2022,1.94,86,73,160,3,98,5
05/01/2022,1.39,47,67,114,4,81,4
05/01/2022,1.49,35,77,112,1,89,3
05/01/2022,1.63,45,75,120,1,90,3
06/01/2022,0.86,10,52,61,6,58,2
06/01/2022,0.6,5,41,46,11,37,1
